300,13,c,d,e,f,g,h,i,j,k,l,m,n
-0.036026659,0.005115231,0.174638503,-0.115594372,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.034330276
-0.034330276,0.004009529,0.164751058,-0.105666453,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.032729452
-0.032729452,0.002999576,0.155519192,-0.096436624,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.031217858
-0.031217858,0.002078632,0.14689797,-0.087856631,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.029789594
-0.029789594,0.001240423,0.13884637,-0.079882431,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.028439163
-0.028439163,0.000479105,0.131325187,-0.072471929,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.027161441
-0.027161441,-0.000210766,0.124298812,-0.065586902,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.025951651
-0.025951651,-0.000834262,0.117733449,-0.059191069,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.024805341
-0.024805341,-0.001396106,0.111597801,-0.053250843,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.023718361
-0.023718361,-0.001900693,0.105862613,-0.047734825,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.022686844
-0.022686844,-0.002352119,0.100500753,-0.042613905,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.021707185
-0.021707185,-0.002754198,0.095486986,-0.037861008,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.020776022
-0.020776022,-0.003110482,0.090797696,-0.033450799,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.019890223
-0.019890223,-0.003424278,0.086410838,-0.029359636,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.019046866
-0.019046866,-0.003698665,0.082305915,-0.025565535,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.018243228
-0.018243228,-0.003936511,0.078463838,-0.022048032,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.017476772
-0.017476772,-0.004140485,0.074866939,-0.018788186,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.016745129
-0.016745129,-0.004313072,0.071498434,-0.015768006,1,1,544.6736172,528.7226554,515.0626159,507.8449084,5329.230048,529.207841,10,-0.016046093
